stop_id,stop_name,stop_lat,stop_lon,stop_code
14523,Focha 01,54.358548397795,18.622770323127,1880
14532,Jasieńska 01,54.349428720731,18.552445407797,1874
14538,Belgradzka 01,54.355555317543,18.588374206362,2272
14544,Brętowo PKM 01,54.364787042589,18.573531239541,2268
14548,Gronostajowa 02,54.345130866407,18.547546043188,1876
14553,Matarnia PKM 02,54.373215080846,18.505851628929,1539
14559,Sopot Małopolska 02,54.455623117049,18.543395292452,4094
14561,Sopot Brodwino 02,54.457716116241,18.534490243612,4098
14562,Rondo Mazowieckiego 02,54.388844481434,18.648945570575,1988
14568,Pruszcz Gdański Dąbrowskiego 01,54.257979098361,18.649398463462,5872
14587,Migowo 02,54.352479435886,18.575749698087,2262
14590,Barniewicka 02,54.43421946701,18.467740221764,1008
14591,Andruszkiewicza 02,54.362125131606,18.690280309136,1068
14599,Pruszcz Gdański Powstańców Warszawy/Plater 06,54.255637471686,18.659803476158,5809
14609,Kowale Osiedle Olimp 02,54.310905828258,18.564849801572,6021
14612,Kowale Plac Afrodyty 01,54.308360389935,18.567014128351,6020
14613,Kowale Szkoła Metropolitalna 01,54.306555550829,18.569349743542,603
14614,Kowale Starowiejska 02,54.30886108077,18.560204617551,6023
14618,Kowale Szlachecka 01,54.303894500218,18.54715537964,6028
14619,Kowale Szlachecka 02,54.30293762374,18.546520561765,6027
14622,Bogatka Bogatka II 01,54.322727732859,18.776625603039,5112
14637,Przejazdowo Sezonowa 04,54.330011394491,18.74430102361,5105
14639,Wiślinka Brzegowa 02,54.342204473175,18.794052451794,5123
14642,Wiślinka Sportowa 01,54.336365094153,18.808564174824,5126
14650,Pruszcz Gdański Kopernika/Azaliowa 58,54.263716907301,18.663845239835,5890
14651,Jagiełły 01,54.304658675525,18.612089226775,1967
14655,Węzeł Groddecka 01,54.348798148211,18.642199978398,2210
14660,Żabianka SKM 03,54.422792990199,18.569657020797,322
14662,Leźnieńska 01,54.353539427927,18.469767007792,1700
14683,Sulmin 17,54.31401269458,18.470779436564,7909
14689,Niestępowo Do Zdroju 08,54.319709405976,18.424340294768,7922
14695,Legionów 05,54.387200953748,18.609669164763,1974
14709,Kowale Osiedle Cytrusowe 01,54.303154746204,18.573685250793,6016
14712,Pomorskie Szkoły Rzemiosł 03,54.360698066121,18.613718057298,1744
14721,Kolorowa 01,54.311739422959,18.602407974622,1858
14724,Otomin Dziewicza 02,54.326373446706,18.5284063381,6002
14725,Otomin Sarnia 01,54.324618557516,18.517376417514,6004
14727,Otomin Słoneczna Pętla 01,54.321402613416,18.5048671682,601
14824,Zabornia 06,54.337825635053,18.570827668004,3991
14825,Lawendowe Wzgórze 01,54.327918964898,18.569950620026,2251
14828,Ujeścisko 02,54.331563017126,18.570997021276,2252
14846,Pokładowa 92,54.394726632096,18.688186624639,9078
14858,Europejskie Centrum Solidarności 02,54.362190979326,18.651315376531,3086
14867,Pruszcz Gdański Bohaterów Monte Cassino 01,54.253477746864,18.64907116452,5801
14876,Pruszcz Gdański Paderewskiego 02,54.257073926565,18.662946527932,5886
14883,Pruszcz Gdański Kopernika/Kasprowicza 62,54.265222359129,18.6673076445,5864
14895,Stężycka 01,54.335501949346,18.530335409791,3812
14910,Barzychowskiej 01,54.308496152889,18.582702857248,3129
14920,Długie Ogrody 02,54.347309286011,18.663166909846,1034
14927,Niedźwiednik 02,54.380357766509,18.558828767809,353
14928,Kiełpino Górne 02,54.342135517612,18.499302683455,378
14939,Chwaszczyno Polna I 02,54.451363572784,18.424378333977,8216
14946,Warneńska 02,54.357705817447,18.582630019331,7001
14950,Piotrkowska 02,54.331378351886,18.585528915413,2281
14952,Łódzka 02,54.332456828411,18.594510775849,2279
14953,Łódzka 01,54.332391121153,18.594822267747,2278
14956,Kampinoska 02,54.315869871351,18.604873985507,3023
14957,Stokłosy 05,54.353762755274,18.48302046632,3705
14962,Przeróbka 01,54.357463286906,18.6834463319,7005
14967,Zimna 01,54.360774954957,18.709997536992,7009
14972,Nowosądecka 02,54.328516115603,18.575052775313,3984
14975,Rybaki Górne 02,54.358582503937,18.655754211549,3091
14981,Tarcice 03,54.352319626247,18.710206315971,1907
14987,Na Zaspę 01,54.401410810268,18.66462108328,7020
14991,Borkowo Słoneczna 01,54.301371767837,18.589222846654,6007
14998,Człuchowska 02,54.32542762065,18.584662608744,3981
15000,Bramińskiego 01,54.322800090274,18.586785161541,3980
15005,Pruszcz Gdański Kopernika/Wagnera 98,54.267962965492,18.672820088818,5878
15018,Gdynia Karwiny Nowowiczlińska 01,54.473547973529,18.477906234539,8103
15021,Budowlanych 01,54.367522894137,18.501870425431,3700
15022,Budowlanych 02,54.367797098235,18.501653621294,3701
15026,Barzychowskiej 02,54.308265150029,18.582839391537,3128
15033,Bąkowo 01,54.293504729635,18.531436584379,6051
15036,Lublewo Gdańskie Konwaliowa 01,54.289607526219,18.512414881669,6055
15045,Pruszcz Gdański Tczewska 01,54.243459955404,18.630561698052,5879
15050,Norblina 01,54.388242480917,18.571330505151,1587
15067,Brama Żuławska 06,54.348231815023,18.668100390488,3102
15087,Sopot Osiedle Mickiewicza 01,54.439118031991,18.547838376673,4029
1431,Potokowa 04,54.373559185592,18.568070909998,1431
1440,Podkarpacka 02,54.377242463437,18.565712547335,1440
1444,Ciołkowskiego 01,54.39478844766,18.616946300862,1444
1450,Lwowska 01,54.389684879128,18.622094476399,1450
1451,Mickiewicza 01,54.383425333195,18.62059290403,7002
1457,Jagiellońska 02,54.413132621144,18.593178736565,1457
1461,Biały Dwór 02,54.409120915693,18.604818291844,1461
1462,Biały Dwór 01,54.40850395917,18.605439892824,1462
1466,Opolska 01,54.404944782638,18.59778831123,1466
1478,Leszczyńskich 01,54.399987726753,18.608016298726,1478
1480,Rzeczypospolitej 01,54.39603803215,18.603778305269,1480
1490,Czerwony Dwór 03,54.412985100703,18.588039458391,1490
1494,PCK 02,54.404795266648,18.631621526101,1494
1496,Brzeźno Dom Zdrojowy 04,54.407193648815,18.639327250846,1496
1497,Zespół Szkół Morskich 01,54.403549792559,18.653928819486,1497
1503,Stary Rynek Oliwski 02,54.408996117648,18.555539640152,1503
1508,Rynarzewo 01,54.421394938121,18.538367735538,1508
1510,Osowa Obwodnica 01,54.428716886508,18.495726466906,1510
1512,Sopocka 01,54.430060010774,18.478621112378,1512
1519,Biwakowa 02,54.427033577669,18.459903726954,1519
1521,Osowa PKP 02,54.420734112932,18.451922410745,1521
1527,Piastowska 04,54.416134293656,18.5859277241,1527
1528,Piastowska 03,54.416121346402,18.587978565268,1528
1538,Bobrowa 02,54.41833032344,18.559670161954,1538
1540,Czyżewskiego 01,54.422134931013,18.561987739997,1540
1541,Brama Oliwska 04,54.362596316904,18.639839212219,1541
1542,Brama Oliwska 03,54.36226005712,18.641952048963,1542
1546,Koziorożca 01,54.41967979817,18.471473596739,1546
1548,Zeusa 01,54.422202723031,18.462746427683,1548
1554,Jelitkowo Kapliczna 02,54.421541679502,18.601488417889,1554
1560,Startowa 04,54.396628719214,18.597766036287,1560
1564,Maciejkowa 02,54.353888698027,18.505530015228,1564
1570,Pomorska - Osiedle 03,54.418009428299,18.578110052134,1570
1579,Krzemowa 01,54.324616506492,18.618007447363,1579
1584,Bluszczowa 01,54.337888060017,18.666886100957,1584
1590,Krasickiego 03,54.406188044004,18.643992689767,1590
1594,Jaśkowa Dolina 03,54.378572135049,18.606567171912,1594
1596,Teatr Miniatura / Radio Gdańsk 03,54.375869495614,18.616271808211,1596
1602,Kościuszki 05,54.388292853567,18.622621703489,1602
1609,Wyspiańskiego 04,54.376411928699,18.623262366614,1609
1624,Swojska 05,54.378911295332,18.634252129951,1624
1632,Wojska Polskiego 05,54.387135386005,18.589648801501,1632
1635,Emaus 02,54.34715335738,18.602084914274,1635
1636,Galeria Bałtycka 03,54.383343441691,18.597402597463,1636
1637,Sopocka 04,54.427923433558,18.478767784147,1637
1638,Jednorożca 01,54.424149539473,18.47886081802,1638
1642,Śnieżna 03,54.392220186161,18.65796462912,1642
1643,Śnieżna 04,54.391903543457,18.656935145537,1643
1648,Stocznia Północna 03,54.371414093583,18.63426761973,1648
1649,Stocznia Północna 04,54.371644482139,18.633638477818,1649
1650,Grudziądzka 03,54.397647457781,18.621972692969,1650
1651,Korczaka 02,54.398648620379,18.609850704831,1651
1654,Mickiewicza 05,54.384607469158,18.622187924967,1654
1670,Pólnicy 01,54.339562984465,18.561140004174,1670
1677,Jaworowa 01,54.338302676961,18.559722289278,1677
1680,Boguckiego 01,54.338064481458,18.904192801262,1680
1688,Dobra 02,54.341121501813,18.655609772909,1688
1707,Łanowa IV 01,54.319075368256,18.681022076339,1707
1712,Łucznicza 01,54.307673365489,18.595956959716,1712
1714,Bursztynowa 02,54.425910162176,18.59287674388,1714
1715,Bursztynowa 01,54.426623670709,18.592141090732,1715
1716,Oliwa PKP 01,54.411164308424,18.572996097274,1716
1719,Życzliwa 02,54.345876089777,18.533390875106,1719
1720,Życzliwa 01,54.345117416891,18.536298443103,1720
1727,SDO "Złota Jesień" 01,54.386967060957,18.598792750024,1727
1731,Terminal - Cargo 02,54.382669034166,18.475845030934,1731
1739,Kilińskiego 01,54.386080900557,18.604867008013,1739
1743,Świętokrzyska 01,54.324392618516,18.605793536755,1743
1746,Góralska 02,54.375655508827,18.563696814411,1746
1753,Sikorskiego 05,54.338229952309,18.617235520977,1753
1754,Rozstaje 05,54.388863936614,18.607847235012,1754
1757,Srebrna 02,54.312767417238,18.596244152295,1757
1766,Oriona 01,54.417349401383,18.456402443793,1766
1768,Hynka 01,54.396909307908,18.588844445258,1768
1769,Olszyńska 02,54.333717230988,18.657169548092,1769
1777,Migowo 04,54.35285625915,18.575712113745,1777
1779,Oliwa 04,54.409088505206,18.568125408536,1779
1782,Saturna 01,54.414920299265,18.446949868967,1782
1786,Keplera 01,54.416718046738,18.466137483565,1786
1787,Wodnika 02,54.416071662198,18.478632324164,1787
1791,Przymorze SKM 02,54.401678722286,18.576961788832,1791
1799,Liliowa 02,54.31548491996,18.590965323608,1799
1805,Lubowidzka 02,54.327983643917,18.538123017621,1805
1806,Lubowidzka 01,54.327941570765,18.538263963366,1806
1807,Potęgowska 02,54.331426445548,18.546485353639,1807
1825,Reymonta 01,54.382980444735,18.585071658095,1825
1826,Bajana 03,54.390187411736,18.607492935471,1826
1828,Forsycji 01,54.342453563689,18.858259041374,1828
1834,Targ Chlebowy 01,54.350437868124,18.652986296159,1834
1842,Turystyczna 01,54.342610941197,18.85194273201,1842
1843,Turystyczna 02,54.342499209468,18.853240953438,1843
1844,Sąsiedzka 01,54.370793958315,18.504412507097,1844
1862,Osiedle Jary 01,54.335217357939,18.601764539075,1862
1863,Rogalińska 02,54.331217536307,18.600443796976,1863
1867,Smoluchowskiego 02,54.367098437674,18.623261612538,1867
1868,Smoluchowskiego 01,54.367086443957,18.624478558853,1868
1882,Olimpijska 02,54.305600914247,18.581335317986,1882
1885,Owczarnia 02,54.414129800091,18.480354587916,1885
1893,Marynarki Polskiej 03,54.398419127361,18.666578344513,1893
1898,Kontenerowa 01,54.380405996517,18.696645781537,1898
1905,Telewizyjna 02,54.398147917804,18.485217465417,1905
1913,Centrum Onkologii 04,54.370107219991,18.627229495365,1913
1915,Uniwersyteckie Centrum Kliniczne 02,54.366671757577,18.62670405315,1915
1922,Zabytkowa 01,54.379779733457,18.59000299051,1922
1937,Przegalińska Schronisko 02,54.313770137227,18.911670176115,1937
1938,Dulkowa 01,54.315701782866,18.902285547461,1938
1940,Komary 01,54.315710157074,18.893997734361,1940
1950,Wieniecka 01,54.324383809567,18.854661513575,1950
1954,Sobieszewko Ośrodek 01,54.335117550073,18.840073334182,1954
1957,Osiedle Świętokrzyskie 01,54.313696904648,18.571296533529,1957
1958,Osiedle Świętokrzyskie 03,54.314099136863,18.569842865938,1958
1968,Leszczynowa 01,54.330906414922,18.558514551224,1968
1970,Jabłoniowa Osiedle 01,54.331627610074,18.56394800311,1970
1979,Wilanowska 04,54.336474469381,18.59807604077,1979
1983,Piotrkowska 04,54.331482163812,18.58487676842,1983
2002,Dworzec Główny 02,54.35498243934,18.645385653555,2002
2010,Uniwersytet Medyczny 02,54.36673644241,18.633659069185,2010
2018,Miszewskiego 02,54.375709412011,18.615449547741,2018
2020,Jaśkowa Dolina 02,54.378267137045,18.606600323462,2020
2022,Klonowa 02,54.379790560381,18.603185158383,2022
2024,Galeria Bałtycka 02,54.382138978249,18.598766692583,2024
2030,Wilka-Krzyżanowskiego 02,54.388386322302,18.581627125872,2030
2033,Strzyża PKM 01,54.391158400201,18.577751470582,2033
2038,Bażyńskiego 02,54.399316010428,18.568102916522,2038
2039,Tetmajera 01,54.402719041802,18.565667156128,2039
2044,Obrońców Westerplatte 02,54.408336455378,18.56293009437,2044
2047,Opacka 01,54.413876492832,18.565714845186,2047
2021,Jaśkowa Dolina 01,54.378434391498,18.60642118973,2021
2025,Galeria Bałtycka 01,54.382332852685,18.598570553109,2025
2035,Uniwersytet Gdański 01,54.395720647745,18.571705123593,2035
2037,Bażyńskiego 01,54.398875730663,18.568560390587,2037
2041,Derdowskiego 01,54.405074902089,18.563909499626,2041
2043,Obrońców Westerplatte 01,54.408364325176,18.562974674762,2043
2046,Oliwa 02,54.409924721015,18.565902823004,2046
2048,Opacka 02,54.413747369456,18.565552952418,2048
2051,Pomorska - Osiedle 01,54.418021229143,18.577354026827,2051
2054,Gospody 02,54.419861632063,18.582610053198,2054
2055,Osiedle Wejhera 01,54.420404227239,18.584566739303,2055
2066,Stocznia Północna 02,54.371766948518,18.633923981653,2066
2067,Twarda 01,54.374556548672,18.631315160292,2067
2068,Twarda 02,54.374381707823,18.631109653229,2068
2072,Wyspiańskiego 02,54.37640779616,18.623508991137,2072
2076,Mickiewicza 02,54.382810828936,18.621798981008,2076
2082,Bajana 02,54.389684593574,18.608431046001,2082
2084,Żwirki i Wigury 02,54.3918499257,18.6061021467,2084
2086,Jana Pawła II 02,54.394313220209,18.60203016451,2086
2089,Zaspa 01,54.39934972357,18.59491059671,2089
2092,Kołobrzeska 02,54.404359004924,18.590949840603,2092
2093,Bora-Komorowskiego 01,54.407956855785,18.589243969162,2093
2094,Bora-Komorowskiego 02,54.40906045581,18.588686030877,2094
2145,Zakopiańska 02,54.348820473473,18.618623129207,2145
2146,Zakopiańska 01,54.34876156071,18.618826591122,2146
2147,Skrajna 02,54.349088711537,18.612636716745,2147
2148,Skrajna 01,54.348984606853,18.61282742052,2148
