stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
124,,"Porzeczkowa",,51.944130,15.477010,0,,0,,,0
126,,"Prosta",,51.941990,15.466620,0,,0,,,0
127,,"Amfiteatr",,51.926510,15.489920,0,,0,,,0
128,,"Wiśniowa",,51.929180,15.492840,0,,0,,,0
129,,"Monte Cassino",,51.931910,15.485090,0,,0,,,0
130,,"Łużycka",,51.934500,15.488930,0,,0,,,0
131,,"Uniwersytet Zielonogórski Campus A",,51.939220,15.528750,0,,0,,,0
132,,"Lotnik",,51.938750,15.536400,0,,0,,,0
133,,"Gajowa",,51.938360,15.544090,0,,0,,,0
134,,"Os. Pomorskie",,51.938510,15.552450,0,,0,,,0
135,,"Os. Pomorskie - Kościół",,51.936630,15.558660,0,,0,,,0
136,,"Os. Śląskie I",,51.933700,15.555590,0,,0,,,0
137,,"OS. ŚLĄSKIE",,51.931440,15.557830,0,,0,,,0
138,,"Os. Śląskie",,51.931510,15.558070,0,,0,,,0
139,,"Os. Śląskie I",,51.933510,15.555950,0,,0,,,0
140,,"Os. Pomorskie  -  Kościół",,51.937250,15.559260,0,,0,,,0
141,,"Os. Pomorskie",,51.938680,15.552050,0,,0,,,0
142,,"Gajowa",,51.938480,15.545450,0,,0,,,0
143,,"Lotnik",,51.938530,15.538570,0,,0,,,0
144,,"Uniwersytet Zielonogórski Campus A",,51.939210,15.530410,0,,0,,,0
145,,"Łużycka",,51.934460,15.487920,0,,0,,,0
146,,"Monte Cassino",,51.931940,15.484610,0,,0,,,0
147,,"Wiśniowa",,51.928630,15.493210,0,,0,,,0
148,,"Amfiteatr",,51.926470,15.489250,0,,0,,,0
149,,"OS. LEŚNE",,51.946600,15.452750,0,,0,,,0
150,,"Os. Leśne",,51.946390,15.453170,0,,0,,,0
151,,"Świerkowa",,51.942200,15.451850,0,,0,,,0
152,,"Świerkowa",,51.942350,15.451450,0,,0,,,0
153,,"Źródlana",,51.955890,15.497610,0,,0,,,0
154,,"Rzeźniczaka",,51.958680,15.496980,0,,0,,,0
155,,"Rondo Batorego",,51.963160,15.494090,0,,0,,,0
156,,"Os. Na Olimpie",,51.967820,15.491230,0,,0,,,0
158,,"Os. Na Olimpie",,51.967070,15.491560,0,,0,,,0
159,,"Rondo Batorego",,51.962950,15.494450,0,,0,,,0
161,,"Łężyca Dolna",,51.996760,15.475600,0,,0,,,0
162,,"Łężyca Kwiatowa",,51.992320,15.477580,0,,0,,,0
163,,"Łężyca Jagodowa",,51.984000,15.483150,0,,0,,,0
166,,"Łężyca Jagodowa",,51.985000,15.482780,0,,0,,,0
167,,"Łężyca Kwiatowa",,51.992160,15.478220,0,,0,,,0
168,,"Łężyca Dolna",,51.997040,15.475740,0,,0,,,0
169,,"Piastowska",,51.929290,15.496360,0,,0,,,0
170,,"Zjednoczenia",,51.945470,15.490100,0,,0,,,0
171,,"Zimna",,51.954430,15.477850,0,,0,,,0
172,,"Naftowa",,51.956340,15.473730,0,,0,,,0
173,,"Naftowa",,51.956030,15.473840,0,,0,,,0
174,,"Piastowska",,51.929490,15.496810,0,,0,,,0
175,,"Poniatowskiego",,51.926760,15.505940,0,,0,,,0
176,,"Przylep rondo",,51.960910,15.461990,0,,0,,,0
177,,"Przylep Osiedlowa",,51.963310,15.457500,0,,0,,,0
178,,"Przylep Strażacka",,51.968910,15.449470,0,,0,,,0
179,,"Przylep Solidarności",,51.973310,15.443830,0,,0,,,0
181,,"Przylep działki",,51.974600,15.442960,0,,0,,,0
182,,"Przylep Solidarności",,51.973630,15.443210,0,,0,,,0
183,,"Przylep Strażacka",,51.969030,15.449270,0,,0,,,0
184,,"Przylep Osiedlowa",,51.964190,15.456290,0,,0,,,0
185,,"Przylep rondo",,51.960430,15.462740,0,,0,,,0
187,,"Chynowska",,51.964490,15.532500,0,,0,,,0
188,,"Poznańska",,51.971020,15.542740,0,,0,,,0
189,,"Zawada Chmielna",,51.987740,15.561570,0,,0,,,0
190,,"Zawada - Kościół",,51.990340,15.562790,0,,0,,,0
191,,"Zawada Szkolna",,51.993370,15.556860,0,,0,,,0
192,,"Krępa",,52.001640,15.538670,0,,0,,,0
193,,"Zawada Szkolna",,51.993160,15.557060,0,,0,,,0
194,,"Zawada - Kościół",,51.991280,15.561710,0,,0,,,0
195,,"Zawada Chmielna",,51.986390,15.560560,0,,0,,,0
196,,"Poznańska",,51.971400,15.543120,0,,0,,,0
197,,"Chynowska",,51.966150,15.534650,0,,0,,,0
199,,"Uniwersytet Zielonogórski Campus B",,51.939070,15.474800,0,,0,,,0
200,,"Szpital (Podgórna)",,51.939320,15.522030,0,,0,,,0
201,,"Augustowska",,51.937990,15.562290,0,,0,,,0
202,,"Graniczna",,51.936050,15.571110,0,,0,,,0
203,,"Stary Kisielin Szkolna",,51.934300,15.577790,0,,0,,,0
204,,"Stary Kisielin  Św. Floriana",,51.934410,15.587420,0,,0,,,0
205,,"Nowy Kisielin Odrzańska",,51.933770,15.595100,0,,0,,,0
206,,"Nowy Kisielin Syrkiewicza",,51.932630,15.609900,0,,0,,,0
207,,"Nowy Kisielin Dębowa",,51.930530,15.622250,0,,0,,,0
208,,"Droszków Zielonogórska",,51.929710,15.653130,1,,0,,,0
209,,"Droszków",,51.931220,15.660480,1,,0,,,0
210,,"Droszków Zielonogórska",,51.929660,15.651620,1,,0,,,0
211,,"Nowy Kisielin Dębowa",,51.930620,15.622160,0,,0,,,0
212,,"Nowy Kisielin Syrkiewicza",,51.932930,15.609270,0,,0,,,0
213,,"Nowy Kisielin Odrzańska",,51.934090,15.594590,0,,0,,,0
214,,"Stary Kisielin  Św. Floriana",,51.934470,15.587270,0,,0,,,0
215,,"Stary Kisielin Szkolna",,51.934360,15.577440,0,,0,,,0
216,,"Graniczna",,51.936240,15.570740,0,,0,,,0
217,,"Augustowska",,51.938130,15.562090,0,,0,,,0
218,,"Szpital (Podgórna)",,51.939340,15.523270,0,,0,,,0
219,,"Uniwersytet Zielonogórski Campus B",,51.939140,15.474530,0,,0,,,0
220,,"Stary Kisielin Zatorze",,51.939790,15.592200,0,,0,,,0
223,,"Ochla Zielonogórska",,51.893750,15.478140,0,,0,,,0
224,,"Ochla cmentarz",,51.883460,15.474310,0,,0,,,0
226,,"Ochla cmentarz",,51.883800,15.474580,0,,0,,,0
227,,"Ochla Zielonogórska",,51.892870,15.478530,0,,0,,,0
229,,"Ochla działki",,51.872600,15.490120,0,,0,,,0
230,,"Ochla Kożuchowska",,51.874220,15.483790,0,,0,,,0
231,,"Ochla Sosnowa",,51.875910,15.477510,0,,0,,,0
233,,"Ochla Sosnowa",,51.875940,15.477410,0,,0,,,0
234,,"Ochla Kożuchowska",,51.874080,15.483780,0,,0,,,0
236,,"Dzika",,51.945680,15.525460,0,,0,,,0
237,,"Łużycka/Francuska",,51.930470,15.477280,0,,0,,,0
238,,"Ceramiczna",,51.928600,15.466320,0,,0,,,0
239,,"Os. Cegielnia",,51.932810,15.462550,0,,0,,,0
241,,"Kossaka",,51.938590,15.463420,0,,0,,,0
255,,"Ceramiczna",,51.928630,15.466790,0,,0,,,0
256,,"Łużycka/Francuska",,51.929840,15.474830,0,,0,,,0
257,,"Dzika",,51.945370,15.524430,0,,0,,,0
263,,"Malczewskiego",,51.935330,15.464250,0,,0,,,0
266,,"Chełmońskiego",,51.937180,15.465460,0,,0,,,0
281,,"Michałowskiego",,51.936750,15.463730,0,,0,,,0
284,,"Energetyków",,51.952810,15.497140,0,,0,,,0
286,,"Śródmieście",,51.941650,15.503780,0,,0,,,0
289,,"PRZYLEP LOTNISKO",,51.974080,15.465380,0,,0,,,0
293,,"Przylep Strażacka",,51.968850,15.449680,0,,0,,,0
294,,"Racula Groszkowa",,51.922730,15.549080,0,,0,,,0
295,,"Racula Witosa",,51.917930,15.562100,0,,0,,,0
296,,"Racula Św. Mikołaja",,51.913170,15.567190,0,,0,,,0
297,,"Racula Dzieci Wrzesińskich",,51.910590,15.570120,0,,0,,,0
298,,"Racula Drzonkowska",,51.904450,15.572660,0,,0,,,0
299,,"Drzonków Olimpijska",,51.899430,15.571540,0,,0,,,0
300,,"Drzonków Strumykowa",,51.894290,15.568840,0,,0,,,0
301,,"Drzonków Wiewiórcza",,51.888930,15.563860,0,,0,,,0
303,,"DRZONKÓW",,51.887090,15.562840,0,,0,,,0
305,,"Drzonków Wiewiórcza",,51.888840,15.563830,0,,0,,,0
306,,"Drzonków Strumykowa",,51.893800,15.569310,0,,0,,,0
307,,"Drzonków - WOSiR ",,51.898720,15.570970,0,,0,,,0
308,,"Racula Drzonkowska",,51.905960,15.572050,0,,0,,,0
309,,"Racula Dzieci Wrzesińskich",,51.910950,15.569810,0,,0,,,0
310,,"Racula Św. Mikołaja",,51.913520,15.566940,0,,0,,,0
311,,"Racula Witosa",,51.918010,15.562090,0,,0,,,0
312,,"Racula Groszkowa",,51.922590,15.549960,0,,0,,,0
350,,"Zatonie Strumykowa",,51.864250,15.564190,0,,0,,,0
351,,"Zatonie Parkowa",,51.860000,15.560920,0,,0,,,0
352,,"Zatonie Jęczmienna",,51.853210,15.561270,0,,0,,,0
353,,"Barcikowice",,51.847590,15.562970,0,,0,,,0
354,,"Zatonie Jęczmienna",,51.853380,15.561260,0,,0,,,0
355,,"Zatonie Parkowa",,51.860200,15.561410,0,,0,,,0
356,,"Zatonie Strumykowa",,51.864210,15.564310,0,,0,,,0
364,,"Strzelecka",,51.928850,15.510170,0,,0,,,0
365,,"Salomei",,51.924570,15.516040,0,,0,,,0
366,,"LECHITÓW",,51.924700,15.521470,0,,0,,,0
367,,"Lechitów",,51.924690,15.521440,0,,0,,,0
368,,"Salomei",,51.924660,15.515750,0,,0,,,0
369,,"Strzelecka",,51.928810,15.510510,0,,0,,,0
371,,"Os. Zdrojowe",,51.955980,15.514630,0,,0,,,0
374,,"Raculka",,51.932880,15.549980,0,,0,,,0
375,,"Trasa Północna",,51.961320,15.497780,0,,0,,,0
376,,"Os. Zastalowskie",,51.960600,15.505150,0,,0,,,0
378,,"Drzonków Rekreacyjna",,51.888750,15.574860,0,,0,,,0
379,,"Sucha OSP",,51.882550,15.594440,0,,0,,,0
381,,"ŁUGOWO",,51.899910,15.622860,0,,0,,,0
385,,"Drzonków Rekreacyjna",,51.888630,15.574860,0,,0,,,0
386,,"Diamentowa",,51.910410,15.504540,0,,0,,,0
387,,"Nowojędrzychowska",,51.907420,15.506050,0,,0,,,0
388,,"Wronia",,51.902630,15.508910,0,,0,,,0
393,,"Diamentowa",,51.910590,15.504540,0,,0,,,0
394,,"Ruczajowa",,51.956700,15.519380,0,,0,,,0
397,,"Os. Zastalowskie",,51.960740,15.505400,0,,0,,,0
398,,"Trasa Północna",,51.961540,15.498770,0,,0,,,0
400,,"Braniborska",,51.936630,15.525420,0,,0,,,0
403,,"OBJAZDOWA",,51.948470,15.491300,0,,0,,,0
404,,"Objazdowa",,51.948210,15.491920,0,,0,,,0
405,,"Mrągowska",,51.939110,15.564320,0,,0,,,0
406,,"Mrągowska",,51.939320,15.563760,0,,0,,,0
420,,"Nowojędrzychowska",,51.907710,15.506080,0,,0,,,0
428,,"Wrocławska",,51.925980,15.540490,0,,0,,,0
431,,"Wyspiańskiego",,51.946370,15.529590,0,,0,,,0
436,,"Os. Czarkowo I",,51.977740,15.487240,0,,0,,,0
437,,"Os. Czarkowo I ",,51.977750,15.487060,0,,0,,,0
438,,"DRZONKÓW LEŚNA",,51.887510,15.563110,0,,0,,,0
439,,"Drzonków Leśna",,51.887810,15.563210,0,,0,,,0
450,,"WROCŁAWSKA",,51.926030,15.540150,0,,0,,,0
460,,"DWORZEC GŁÓWNY",,51.947340,15.516830,0,,0,,,0
484,,"OS. ŚLĄSKIE",,51.931460,15.557830,0,,0,,,0
508,,"ZAJEZDNIA MZK",,51.950820,15.481510,0,,0,,,0
675,,"Działkowa",,51.944460,15.485570,0,,0,,,0
718,,"Leśniczówka",,51.890960,15.622960,0,,0,,,0
720,,"Ługowo",,51.899120,15.622750,0,,0,,,0
721,,"Leśniczówka",,51.890970,15.622930,0,,0,,,0
722,,"Sucha OSP",,51.882970,15.594860,0,,0,,,0
723,,"Mieczykowa",,51.899800,15.501620,0,,0,,,0
724,,"Os. Kwiatowe",,51.901380,15.494910,0,,0,,,0
725,,"Liliowa",,51.903920,15.500110,0,,0,,,0
728,,"Kąpielisko H2Ochla",,51.906440,15.489710,0,,0,,,0
729,,"Kąpielisko H2Ochla",,51.905020,15.488750,0,,0,,,0
730,,"Lumel",,51.962650,15.544790,0,,0,,,0
747,,"Dożynkowa",,51.905890,15.521530,0,,0,,,0
748,,"Dożynkowa",,51.906120,15.521230,0,,0,,,0
750,,"NOWY KISIELIN",,51.928870,15.628830,0,,0,,,0
752,,"Agrestowa",,51.943530,15.473080,0,,0,,,0
753,,"Lug",,51.958900,15.543940,0,,0,,,0
754,,"Lug",,51.958890,15.544070,0,,0,,,0
755,,"Stelmet",,51.958720,15.553060,0,,0,,,0
756,,"Stelmet",,51.958720,15.553170,0,,0,,,0
757,,"Lumel",,51.962650,15.544710,0,,0,,,0
761,,"Os. Zdrojowe",,51.955800,15.514840,0,,0,,,0
770,,"Zawada Truskawkowa",,51.994800,15.553480,0,,0,,,0
779,,"Ochla",,51.878340,15.474120,0,,0,,,0
790,,"CHYNÓW",,51.969270,15.535040,0,,0,,,0
798,,"WYCZÓŁKOWSKIEGO",,51.939810,15.466340,0,,0,,,0
799,,"Sucha III",,51.885710,15.600930,0,,0,,,0
800,,"Ochla Plac Błyskoszowej",,51.879080,15.470220,0,,0,,,0
803,,"Ochla",,51.878340,15.474090,0,,0,,,0
805,,"Łężyca",,51.998980,15.474750,0,,0,,,0
808,,"Nowy Kisielin",,51.929010,15.628480,0,,0,,,0
810,,"JĘDRZYCHÓW",,51.896790,15.515850,0,,0,,,0
812,,"CHYNÓW",,51.969200,15.535110,0,,0,,,0
815,,"Sucha III",,51.885450,15.600450,0,,0,,,0
831,,"Jany",,51.973960,15.604250,0,,0,,,0
832,,"Zawada Zielonogórska",,51.991440,15.563090,0,,0,,,0
840,,"Chemiczna",,51.952850,15.483870,0,,0,,,0
844,,"Zawada",,51.985850,15.572400,0,,0,,,0
848,,"Krępa Odrzańska",,51.996080,15.535460,0,,0,,,0
859,,"Krępa Odrzańska",,51.995920,15.535370,0,,0,,,0
860,,"Krępa Odrzańska",,51.995040,15.534630,0,,0,,,0
861,,"Ochla Plac Błyskoszowej",,51.878630,15.469980,0,,0,,,0
864,,"Jeleniów I",,51.849630,15.455600,0,,0,,,0
865,,"JELENIÓW",,51.847120,15.465710,0,,0,,,0
866,,"Jeleniów",,51.846880,15.466350,0,,0,,,0
867,,"Jeleniów I",,51.850220,15.453770,0,,0,,,0
868,,"Kiełpin",,51.864930,15.508140,0,,0,,,0
869,,"Kiełpin",,51.865200,15.508150,0,,0,,,0
870,,"Kiełpin las",,51.856100,15.506550,0,,0,,,0
871,,"Kiełpin las",,51.856060,15.506440,0,,0,,,0
872,,"JAROGNIEWICE",,51.832940,15.493620,0,,0,,,0
873,,"Jarogniewice",,51.832600,15.493580,0,,0,,,0
874,,"Ochla działki ",,51.872090,15.491710,0,,0,,,0
875,,"Jany",,51.974060,15.603810,0,,0,,,0
878,,"Zawada Zielonogórska",,51.992160,15.563590,0,,0,,,0
879,,"Ruczajowa ",,51.956540,15.519840,0,,0,,,0
880,,"Mechaników",,51.958020,15.506880,0,,0,,,0
881,,"Anny Jagiellonki",,51.954240,15.493330,0,,0,,,0
882,,"Anny Jagiellonki",,51.953900,15.493520,0,,0,,,0
883,,"Elektronowa",,51.955510,15.486930,0,,0,,,0
884,,"Elektronowa",,51.955540,15.486200,0,,0,,,0
885,,"Mechaników",,51.957460,15.507380,0,,0,,,0
886,,"Chemiczna",,51.952840,15.484040,0,,0,,,0
887,,"Krępa",,52.000850,15.537970,0,,0,,,0
889,,"Zawada",,51.985870,15.572550,0,,0,,,0
890,,"Os. Kolorowe",,51.972980,15.532680,0,,0,,,0
891,,"Krępowska",,51.976010,15.532580,0,,0,,,0
892,,"Os. Kolorowe",,51.971500,15.533020,0,,0,,,0
893,,"Krępowska",,51.974840,15.532300,0,,0,,,0
894,,"Ochla Żagańska",,51.874130,15.459050,0,,0,,,0
895,,"Ochla Żagańska",,51.874420,15.459480,0,,0,,,0
896,,"Ochla Os.Ostoja",,51.870680,15.457600,0,,0,,,0
897,,"Ochla Os.Ostoja",,51.870050,15.457860,0,,0,,,0
898,,"Objazdowa",,51.948300,15.491200,0,,0,,,0
906,,"Zawada Truskawkowa",,51.994660,15.553580,0,,0,,,0
907,,"Nowy Kisielin Park Technologiczny",,51.928150,15.611400,0,,0,,,0
908,,"Nowy Kisielin Wysockiego",,51.928820,15.615670,0,,0,,,0
909,,"Nowy Kisielin Wysockiego",,51.928920,15.615630,0,,0,,,0
910,,"Nowy Kisielin Park Technologiczny",,51.928280,15.611580,0,,0,,,0
911,,"Krępa Dolna",,51.999100,15.536800,0,,0,,,0
913,,"Jędrzychów",,51.896490,15.516170,0,,0,,,0
914,,"Drzonków - WOSiR",,51.897420,15.570150,0,,0,,,0
915,,"Drzonków Słoneczna",,51.892100,15.568510,0,,0,,,0
921,,"Sucha Os. Złote Piaski",,51.886300,15.611490,0,,0,,,0
922,,"Sucha Os. Złote Piaski",,51.886350,15.611720,0,,0,,,0
924,,"PKP NOWY KISIELIN",,51.914900,15.628440,0,,0,,,0
925,,"PKP Nowy Kisielin",,51.915310,15.627850,0,,0,,,0
926,,"Nowy Kisielin IDEAL",,51.921590,15.614640,0,,0,,,0
927,,"Nowy Kisielin IDEAL",,51.921910,15.614260,0,,0,,,0
928,,"Nowy Kisielin Ekoenergetyka",,51.925520,15.615080,0,,0,,,0
929,,"Nowy Kisielin Ekoenergetyka",,51.925510,15.615440,0,,0,,,0
931,,"Sucha I",,51.882740,15.588610,0,,0,,,0
932,,"Sucha I",,51.882780,15.588390,0,,0,,,0
933,,"Jana z Kolna",,51.947250,15.497510,0,,0,,,0
934,,"Jana z Kolna",,51.947280,15.497710,0,,0,,,0
935,,"Ochla Skansen",,51.891610,15.478370,0,,0,,,0
936,,"Ochla Skansen",,51.890080,15.477950,0,,0,,,0
941,,"Nowy Kisielin Panattoni",,51.926570,15.618610,0,,0,,,0
942,,"Nowy Kisielin Panattoni",,51.926660,15.618710,0,,0,,,0
954,,"Wrocławska",,51.926080,15.540020,0,,0,,,0
955,,"Zatonie Jaśminowa",,51.867440,15.561770,0,,0,,,0
956,,"Zatonie Jaśminowa",,51.867760,15.561300,0,,0,,,0
960,,"Funka",,51.902570,15.511410,0,,0,,,0
962,,"Nowy Kisielin Spinko",,51.920340,15.624900,0,,0,,,0
964,,"Stokrotkowa",,51.902170,15.508540,0,,0,,,0
966,,"Herberta",,51.944540,15.495630,0,,0,,,0
967,,"Herberta",,51.944520,15.496270,0,,0,,,0
970,,"OS. CZARKOWO",,51.979500,15.486130,0,,0,,,0
971,,"Os. Czarkowo",,51.979550,15.486100,0,,0,,,0
972,,"Os. Czarkowo",,51.979110,15.486270,0,,0,,,0
987,,"Barcikowiczki",,51.853000,15.526280,0,,0,,,0
988,,"Zajezdnia Chemiczna",,51.952040,15.482270,0,,0,,,0
989,,"Zajezdnia Chemiczna",,51.952220,15.482080,0,,0,,,0
1001,,"Kiełpin Os. Sawanna",,51.869370,15.500810,0,,0,,,0
1002,,"Kiełpin Os. Sawanna",,51.869150,15.501090,0,,0,,,0
1003,,"Francuska",,51.932780,15.477340,0,,0,,,0
1004,,"Francuska szkoła",,51.934680,15.475170,0,,0,,,0
1005,,"Os. Przyjaźni",,51.936300,15.474100,0,,0,,,0
1006,,"Kraljevska",,51.937690,15.476100,0,,0,,,0
1007,,"Budziszyńska",,51.937450,15.478470,0,,0,,,0
1010,,"Os. Mazurskie",,51.941930,15.561700,0,,0,,,0
1011,,"Os. Mazurskie",,51.942580,15.561300,0,,0,,,0
1012,,"Os. Mazurskie",,51.942260,15.560540,0,,0,,,0
1015,,"Palmiarnia P+R",,51.938990,15.515800,0,,0,,,0
1016,,"Kupiecka",,51.939130,15.508730,0,,0,,,0
1017,,"Konkatedra",,51.939080,15.508060,0,,0,,,0
1018,,"Stare Miasto",,51.937320,15.505690,0,,0,,,0
1019,,"Drzewna",,51.937640,15.507990,0,,0,,,0
1020,,"Morelowa",,51.932270,15.517480,0,,0,,,0
1021,,"Stroma",,51.931370,15.515620,0,,0,,,0
1022,,"al. Słowackiego",,51.929530,15.514840,0,,0,,,0
1023,,"Grunwaldzka",,51.928580,15.514780,0,,0,,,0
1024,,"Krzemieniecka",,51.927070,15.521100,0,,0,,,0
1025,,"Wodna",,51.926770,15.515130,0,,0,,,0
1026,,"Grunwaldzka",,51.928200,15.515070,0,,0,,,0
1027,,"al. Słowackiego",,51.929440,15.514700,0,,0,,,0
1028,,"Stroma",,51.931250,15.515500,0,,0,,,0
1029,,"Morelowa",,51.932140,15.517290,0,,0,,,0
1030,,"Drzewna",,51.937660,15.507990,0,,0,,,0
