route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
9,7069_RO,7069_4262,PIASTOWSKA,,0,19/2,518325,0,0
19,7069_RO,7069_427,OS. ŚLĄSKIE,,0,14/4,518286,0,0
19,7069_RO,7069_428,OS. CZARKOWO,,1,14/3,518289,0,0
19,7069_RO,7069_430,OS. ŚLĄSKIE,,0,14/3,518286,0,0
102,7069_RO,7069_4301,DWORZEC GŁÓWNY,,1,101/4,518580,0,0
19,7069_RO,7069_431,ŁĘŻYCA,,1,19/2,518287,0,0
102,7069_RO,7069_4310,DWORZEC GŁÓWNY,,1,101/2,518580,0,0
102,7069_RO,7069_4318,DWORZEC GŁÓWNY,,1,101/4,518580,0,0
19,7069_RO,7069_433,OS. ŚLĄSKIE,,0,19/2,518293,0,0
102,7069_RO,7069_4330,DWORZEC GŁÓWNY,,1,101/2,518580,0,0
19,7069_RO,7069_434,OS. CZARKOWO,,1,19/2,518289,0,0
102,7069_RO,7069_4340,DWORZEC GŁÓWNY,,1,101/4,518580,0,0
102,7069_RO,7069_4347,DWORZEC GŁÓWNY,,1,101/2,518580,0,0
19,7069_RO,7069_435,OS. ŚLĄSKIE,,0,19/2,518286,0,0
102,7069_RO,7069_4352,DWORZEC GŁÓWNY,,1,101/4,518580,0,0
102,7069_RO,7069_4355,DWORZEC GŁÓWNY,,1,101/2,518580,0,0
19,7069_RO,7069_4356,OS. ŚLĄSKIE,,0,14/1,518290,0,0
19,7069_RO,7069_4361,ZAJEZDNIA CHEMICZNA,,1,19/21,518291,0,0
19,7069_RO,7069_437,ZAJEZDNIA CHEMICZNA,,1,19/2,518291,0,0
15,7069_RO,7069_4381,"ZAJEZDNIA CHEMICZNA PRZEZ DW. GŁÓWNY, OS.ZDROJOWE",,1,15/1,518414,0,0
15,7069_RO,7069_4383,"ZAJEZDNIA CHEMICZNA PRZEZ DW. GŁÓWNY, OS.ZDROJOWE",,1,15/1,518414,0,0
15,7069_RO,7069_4389,"ZAJEZDNIA CHEMICZNA PRZEZ DW. GŁÓWNY, OS.ZDROJOWE",,1,15/1,518414,0,0
15,7069_RO,7069_4392,OS. MAZURSKIE,,0,15/1,518413,0,0
15,7069_RO,7069_4394,"ZAJEZDNIA CHEMICZNA PRZEZ DW. GŁÓWNY, OS.ZDROJOWE",,1,15/1,518414,0,0
15,7069_RO,7069_4398,OS. MAZURSKIE,,0,15/1,518413,0,0
15,7069_RO,7069_4399,"ZAJEZDNIA CHEMICZNA PRZEZ DW. GŁÓWNY, OS.ZDROJOWE",,1,15/1,518414,0,0
12,7069_RO,7069_440,DWORZEC GŁÓWNY,,1,12/1,518496,0,0
22,7069_RO,7069_442,DWORZEC GŁÓWNY,,1,9/2,518423,0,0
102,7069_RO,7069_4429,DWORZEC GŁÓWNY,,1,101/4,518580,0,0
102,7069_RO,7069_443,OS. DOLINA ZIELONA,,0,101/2,518576,0,0
19,7069_RO,7069_445,ŁĘŻYCA,,1,19/4,518287,0,0
37,7069_RO,7069_4456,OS. LEŚNE,,1,37/1,518586,0,0
37,7069_RO,7069_4458,OS. LEŚNE,,1,37/1,518586,0,0
19,7069_RO,7069_446,OS. ŚLĄSKIE,,0,19/4,518293,0,0
37,7069_RO,7069_4460,OS. LEŚNE,,1,37/1,518586,0,0
37,7069_RO,7069_4461,OS. LEŚNE,,1,37/1,518586,0,0
37,7069_RO,7069_4464,OS. LEŚNE,,1,37/1,518586,0,0
37,7069_RO,7069_4468,OS. LEŚNE,,1,37/1,518586,0,0
102,7069_RO,7069_447,OS. DOLINA ZIELONA,,0,101/4,518576,0,0
37,7069_RO,7069_4475,OS. LEŚNE,,1,37/1,518586,0,0
37,7069_RO,7069_4476,OS. LEŚNE,,1,37/1,518586,0,0
26,7069_RO,7069_4477,OS. ŚLĄSKIE,,1,19/4,518508,0,0
37,7069_RO,7069_4478,OS. LEŚNE,,1,37/1,518586,0,0
19,7069_RO,7069_448,OS. ŚLĄSKIE,,0,19/11,518290,0,0
37,7069_RO,7069_4483,OS. LEŚNE,,1,37/1,518586,0,0
19,7069_RO,7069_449,ŁĘŻYCA,,1,19/11,518287,0,0
19,7069_RO,7069_450,OS. ŚLĄSKIE,,0,19/11,518293,0,0
19,7069_RO,7069_451,ŁĘŻYCA,,1,19/11,518287,0,0
19,7069_RO,7069_452,OS. ŚLĄSKIE,,0,19/11,518293,0,0
37,7069_RO,7069_4522,OS. LEŚNE,,1,37/1,518587,0,0
101,7069_RO,7069_4525,LECHITÓW,,0,101/10,518342,0,0
101,7069_RO,7069_4529,SZPITAL (ZYTY),,0,101/4,518344,0,0
102,7069_RO,7069_4533,DWORZEC GŁÓWNY,,1,101/2,518580,0,0
102,7069_RO,7069_4534,DWORZEC GŁÓWNY,,1,101/4,518580,0,0
102,7069_RO,7069_4535,DWORZEC GŁÓWNY,,1,101/2,518580,0,0
1,7069_RO,7069_4536,JĘDRZYCHÓW,,0,1/22,518406,0,0
19,7069_RO,7069_454,OS. CZARKOWO,,1,19/11,518289,0,0
1,7069_RO,7069_4541,CHYNÓW,,1,1/22,518409,0,0
1,7069_RO,7069_4542,JĘDRZYCHÓW,,0,1/22,518406,0,0
1,7069_RO,7069_4550,CHYNÓW,,1,1/22,518409,0,0
2,7069_RO,7069_458,JĘDRZYCHÓW,,0,1/4,518437,0,0
1,7069_RO,7069_4583,JĘDRZYCHÓW,,0,1/22,518406,0,0
20,7069_RO,7069_46,DWORZEC GŁÓWNY,,1,21/1,518450,0,0
1,7069_RO,7069_461,CHYNÓW PRZEZ SŁUBICKĄ,,1,1/4,518403,0,0
19,7069_RO,7069_463,OS. ŚLĄSKIE,,0,19/10,518286,0,0
19,7069_RO,7069_464,OS. CZARKOWO,,1,14/4,518289,0,0
39,7069_RO,7069_4680,BOTANICZNA,,0,9/10,518339,0,0
19,7069_RO,7069_471,ŁĘŻYCA,,1,19/3,518288,0,0
19,7069_RO,7069_472,OS. ŚLĄSKIE,,0,19/3,518293,0,0
1,7069_RO,7069_4721,CHYNÓW PRZEZ SŁUBICKĄ,,1,9/1,518403,0,0
1,7069_RO,7069_4723,CHYNÓW,,1,1/2,518409,0,0
2,7069_RO,7069_4726,ZAJEZDNIA CHEMICZNA,,1,1/2,518440,0,0
1,7069_RO,7069_473,DWORZEC GŁÓWNY,,0,21/1,518401,0,0
19,7069_RO,7069_474,ŁĘŻYCA,,1,19/3,518287,0,0
1,7069_RO,7069_475,CHYNÓW PRZEZ DZIAŁKI,,1,1/22,518397,0,0
19,7069_RO,7069_477,OS. ŚLĄSKIE,,0,19/3,518293,0,0
19,7069_RO,7069_480,ŁĘŻYCA,,1,19/3,518287,0,0
20,7069_RO,7069_4810,PRZYLEP,,0,20/10,518445,0,0
27,7069_RO,7069_4811,JELENIÓW,,0,14/2,518356,0,0
27,7069_RO,7069_4812,DWORZEC GŁÓWNY,,1,14/2,518365,0,0
19,7069_RO,7069_482,OS. ŚLĄSKIE,,0,19/3,518293,0,0
19,7069_RO,7069_483,OS. CZARKOWO,,1,19/10,518289,0,0
39,7069_RO,7069_4835,BOTANICZNA,,0,39/21,518339,0,0
39,7069_RO,7069_4838,OS. CZARKOWO,,1,39/21,518338,0,0
19,7069_RO,7069_484,OS. ŚLĄSKIE,,0,19/2,518286,0,0
19,7069_RO,7069_485,OS. CZARKOWO,,1,19/2,518289,0,0
19,7069_RO,7069_487,OS. ŚLĄSKIE,,0,19/2,518286,0,0
19,7069_RO,7069_489,OS. CZARKOWO,,1,19/2,518289,0,0
19,7069_RO,7069_490,OS. ŚLĄSKIE,,0,19/2,518286,0,0
19,7069_RO,7069_492,ŁĘŻYCA,,1,19/3,518287,0,0
19,7069_RO,7069_493,OS. ŚLĄSKIE,,0,19/3,518293,0,0
19,7069_RO,7069_494,OS. CZARKOWO,,1,19/20,518289,0,0
1,7069_RO,7069_4942,JĘDRZYCHÓW,,0,1/1,518405,0,0
22,7069_RO,7069_4945,DWORZEC GŁÓWNY,,1,20/1,518421,0,0
22,7069_RO,7069_4946,CHYNÓW,,0,30/22,518422,0,0
22,7069_RO,7069_4947,DWORZEC GŁÓWNY,,1,1/3,518423,0,0
22,7069_RO,7069_4948,CHYNÓW,,0,1/3,518422,0,0
22,7069_RO,7069_4949,DWORZEC GŁÓWNY,,1,1/3,518420,0,0
19,7069_RO,7069_495,OS. ŚLĄSKIE,,0,19/20,518286,0,0
22,7069_RO,7069_4954,CHYNÓW,,0,55P/10,518422,0,0
22,7069_RO,7069_4955,DWORZEC GŁÓWNY,,1,55P/10,518420,0,0
19,7069_RO,7069_496,OS. CZARKOWO,,1,19/2,518289,0,0
